year,mon,gdp,rate
1948,1,1821.809,3.733333
1948,4,1855.345,3.666667
1948,7,1865.32,3.766667
1948,10,1868.184,3.833333
1949,1,1842.24,4.666667
1949,4,1835.512,5.866667
1949,7,1856.103,6.7
1949,10,1838.679,6.966667
1950,1,1912.998,6.4
1950,4,1971.217,5.566667
1950,7,2048.351,4.633333
1950,10,2084.39,4.233333
1951,1,2110.731,3.5
1951,4,2145.746,3.1
1951,7,2188.503,3.166667
1951,10,2192.21,3.366667
1952,1,2214.268,3.066667
1952,4,2216.709,2.966667
1952,7,2231.561,3.233333
1952,10,2305.276,2.833333
1953,1,2348.408,2.7
1953,4,2366.18,2.566667
1953,7,2351.793,2.733333
1953,10,2314.567,3.7
1954,1,2303.523,5.266667
1954,4,2306.413,5.8
1954,7,2332.418,5.966667
1954,10,2379.125,5.333333
1955,1,2447.657,4.733333
1955,4,2488.149,4.4
1955,7,2521.394,4.1
1955,10,2535.472,4.233333
1956,1,2523.902,4.033333
1956,4,2543.752,4.2
1956,7,2540.555,4.133333
1956,10,2582.07,4.133333
1957,1,2597.939,3.933333
1957,4,2591.671,4.1
1957,7,2616.638,4.233333
1957,10,2589.11,4.933333
1958,1,2519.019,6.3
1958,4,2534.48,7.366667
1958,7,2593.867,7.333333
1958,10,2654.348,6.366667
1959,1,2708.036,5.833333
1959,4,2776.43,5.1
1959,7,2773.119,5.266667
1959,10,2782.827,5.6
1960,1,2845.268,5.133333
1960,4,2831.971,5.233333
1960,7,2836.599,5.533333
1960,10,2800.224,6.266667
1961,1,2816.858,6.8
1961,4,2869.554,7
1961,7,2915.929,6.766667
1961,10,2975.288,6.2
1962,1,3028.654,5.633333
1962,4,3062.094,5.533333
1962,7,3090.408,5.566667
1962,10,3097.917,5.533333
1963,1,3138.407,5.766667
1963,4,3177.733,5.733333
1963,7,3237.567,5.5
1963,10,3262.18,5.566667
1964,1,3335.397,5.466667
1964,4,3373.705,5.2
1964,7,3419.548,5
1964,10,3429.028,4.966667
1965,1,3513.25,4.9
1965,4,3560.919,4.666667
1965,7,3633.182,4.366667
1965,10,3720.836,4.1
1966,1,3812.167,3.866667
1966,4,3824.857,3.833333
1966,7,3850.012,3.766667
1966,10,3881.205,3.7
1967,1,3915.396,3.833333
1967,4,3916.211,3.833333
1967,7,3947.455,3.8
1967,10,3977.573,3.9
1968,1,4059.545,3.733333
1968,4,4128.472,3.566667
1968,7,4156.717,3.533333
1968,10,4174.727,3.4
1969,1,4240.478,3.4
1969,4,4252.828,3.433333
1969,7,4279.723,3.566667
1969,10,4259.622,3.566667
1970,1,4252.94,4.166667
1970,4,4260.65,4.766667
1970,7,4298.588,5.166667
1970,10,4253.004,5.833333
1971,1,4370.283,5.933333
1971,4,4395.075,5.9
1971,7,4430.159,6.033333
1971,10,4442.47,5.933333
1972,1,4521.907,5.766667
1972,4,4629.147,5.7
1972,7,4673.511,5.566667
1972,10,4750.488,5.366667
1973,1,4872.005,4.933333
1973,4,4928.362,4.933333
1973,7,4902.065,4.8
1973,10,4948.823,4.766667
1974,1,4905.427,5.133333
1974,4,4917.987,5.2
1974,7,4869.361,5.633333
1974,10,4850.197,6.6
1975,1,4791.203,8.266667
1975,4,4827.818,8.866667
1975,7,4909.135,8.466667
1975,10,4973.263,8.3
1976,1,5086.318,7.733333
1976,4,5124.57,7.566667
1976,7,5149.673,7.733333
1976,10,5187.069,7.766667
1977,1,5247.28,7.5
1977,4,5351.56,7.133333
1977,7,5447.268,6.9
1977,10,5446.141,6.666667
1978,1,5464.738,6.333333
1978,4,5679.718,6
1978,7,5735.401,6.033333
1978,10,5811.259,5.9
1979,1,5820.977,5.866667
1979,4,5826.441,5.7
1979,7,5868.323,5.866667
1979,10,5884.469,5.966667
1980,1,5903.424,6.3
1980,4,5782.434,7.333333
1980,7,5771.687,7.666667
1980,10,5878.439,7.4
1981,1,6000.591,7.433333
1981,4,5952.711,7.4
1981,7,6025.037,7.4
1981,10,5949.98,8.233333
1982,1,5852.334,8.833333
1982,4,5884.048,9.433333
1982,7,5861.363,9.9
1982,10,5865.99,10.66667
1983,1,5938.947,10.36667
1983,4,6072.433,10.13333
1983,7,6192.178,9.366667
1983,10,6320.176,8.533333
1984,1,6442.76,7.866667
1984,4,6553.996,7.433333
1984,7,6617.69,7.433333
1984,10,6671.565,7.3
1985,1,6734.522,7.233333
1985,4,6791.542,7.3
1985,7,6897.631,7.2
1985,10,6949.982,7.033333
1986,1,7016.763,7.033333
1986,4,7044.952,7.166667
1986,7,7112.874,6.966667
1986,10,7147.254,6.833333
1987,1,7186.881,6.6
1987,4,7263.307,6.266667
1987,7,7326.301,6
1987,10,7451.658,5.833333
1988,1,7490.203,5.7
1988,4,7586.401,5.466667
1988,7,7625.57,5.466667
1988,10,7727.392,5.333333
1989,1,7799.942,5.2
1989,4,7858.304,5.233333
1989,7,7920.628,5.233333
1989,10,7937.918,5.366667
1990,1,8020.842,5.3
1990,4,8052.721,5.333333
1990,7,8052.598,5.7
1990,10,7982.047,6.133333
1991,1,7943.38,6.6
1991,4,7996.993,6.833333
1991,7,8030.679,6.866667
1991,10,8062.16,7.1
1992,1,8150.654,7.366667
1992,4,8237.259,7.6
1992,7,8322.253,7.633333
1992,10,8409.834,7.366667
1993,1,8425.289,7.133333
1993,4,8479.193,7.066667
1993,7,8523.828,6.8
1993,10,8636.393,6.633333
1994,1,8720.471,6.566667
1994,4,8839.753,6.2
1994,7,8896.691,6
1994,10,8995.497,5.633333
1995,1,9017.565,5.466667
1995,4,9036.95,5.666667
1995,7,9112.901,5.666667
1995,10,9176.437,5.566667
1996,1,9239.297,5.533333
1996,4,9399.025,5.5
1996,7,9480.781,5.266667
1996,10,9584.272,5.333333
1997,1,9657.987,5.233333
1997,4,9801.18,5
1997,7,9924.196,4.866667
1997,10,10000.33,4.666667
1998,1,10094.8,4.633333
1998,4,10185.58,4.4
1998,7,10319.97,4.533333
1998,10,10498.61,4.433333
1999,1,10592.15,4.3
1999,4,10674.94,4.266667
1999,7,10810.68,4.233333
1999,10,11004.83,4.066667
2000,1,11033.57,4.033333
2000,4,11248.8,3.933333
2000,7,11258.25,4
2000,10,11324.96,3.9
2001,1,11287.75,4.233333
2001,4,11361.73,4.4
2001,7,11330.38,4.833333
2001,10,11370.03,5.5
2002,1,11467.14,5.7
2002,4,11528.14,5.833333
2002,7,11586.61,5.733333
2002,10,11590.58,5.866667
2003,1,11638.92,5.866667
2003,4,11737.52,6.133333
2003,7,11930.68,6.133333
2003,10,12038.59,5.833333
2004,1,12117.92,5.7
2004,4,12195.89,5.6
2004,7,12286.67,5.433333
2004,10,12387.23,5.433333
2005,1,12515,5.3
2005,4,12570.71,5.1
2005,7,12670.53,4.966667
2005,10,12735.58,4.966667
2006,1,12896.38,4.733333
2006,4,12948.71,4.633333
2006,7,12950.44,4.633333
2006,10,13038.44,4.433333
2007,1,13056.12,4.5
2007,4,13173.55,4.5
2007,7,13269.83,4.666667
2007,10,13325.96,4.8
2008,1,13266.83,5
2008,4,13310.47,5.333333
2008,7,13186.92,6
2008,10,12883.53,6.866667
2009,1,12663.23,8.266667
2009,4,12641.27,9.266667
2009,7,12694.52,9.633333
2009,10,12813.45,9.933333
2010,1,12937.74,9.766667
2010,4,13058.48,9.633333
2010,7,13139.59,9.533333
2010,10,13216.11,9.566667
2011,1,13227.87,9
2011,4,13271.83,9.033333
2011,7,13331.56,9.066667
2011,10,13429.85,8.7
