RET,vwretd,ewretd,sprtrn
0.042987,0.063952,0.082048,0.063156
0.054386,0.037005,0.06013,0.02687
0.054908,0.03061,0.049888,0.025536
0.034385,0.005645,0.009487,0.003843
-0.035222,0.025894,0.041572,0.019139
0.085714,-0.028499,-0.042415,-0.028846
0.031871,0.029955,0.011517,0.032797
0.112376,0.026854,0.021358,0.019623
-0.023018,-0.01999,-0.029686,-0.019686
-0.030366,0.027331,0.020988,0.028323
0.02981,0.045451,0.046461,0.039347
-0.034211,0.000713,-0.003757,0.003225
-0.094005,-0.036147,-0.007807,-0.037876
-0.039275,0.019512,0.015405,0.01627
0.078616,-0.004688,-0.006241,-0.00586
-0.053936,-0.063435,-0.068134,-0.06197
-0.102167,-0.08462,-0.098186,-0.08599
-0.137931,-0.082615,-0.085125,-0.081838
0.118,0.065438,0.064,0.063562
-0.008993,0.023414,0.037061,0.015284
-0.110708,-0.050154,-0.06383,-0.048207
0.036735,0.002184,-0.039528,0.004443
0.124752,0.110137,0.121176,0.101557
0.003521,0.011865,-0.025561,0.013492
0.033684,0.051848,0.08914,0.049128
-0.030717,-0.021931,-0.014477,-0.028852
0.042254,0.032917,0.012027,0.035464
0.056081,0.047439,0.02689,0.04852
-0.016077,0.020051,0.032306,0.014327
-0.009804,-0.01803,-0.010383,-0.020198
-0.027723,-0.001718,-0.006304,-0.00346
0.075085,0.052684,0.042305,0.048749
0.003175,-0.011898,-0.010373,-0.011034
0.008228,0.027708,0.012208,0.032218
0,-0.005549,-0.016139,-0.010539
0.007886,0.021736,-0.004228,0.024444
0.033646,0.02579,0.032092,0.026926
-0.006088,0.017207,0.025173,0.009865
0.036753,0.017636,0.02551,0.015167
-0.034712,0.004608,0.001004,0.006077
-0.012308,0.017403,0.007507,0.011452
0.031153,0.01508,0.010411,0.016424
0.023414,0.020118,0.030161,0.01824
0.001484,-0.011266,-0.006038,-0.01623
0.004444,0.03048,0.038248,0.028718
-0.009587,0.008869,0.018821,0.008078
-0.053892,0.003089,-0.000516,-0.005185
0.031646,0.00369,-0.012365,0.003909
-0.040337,0.038646,0.071403,0.033156
-0.030547,0.006946,0.032315,-0.001485
-0.021559,-0.009715,0.015393,-0.014526
0.03,0.033652,0.04156,0.034239
-0.021523,-0.00435,-0.005845,-0.007743
-0.021997,-0.051868,-0.083718,-0.048632
0.025433,0.016759,0.028633,0.013433
-0.03056,0.030883,0.041844,0.022522
