date,logreturn
2000/1/1,3.975554716
2000/2/1,-8.842966227
2000/3/1,14.26108517
2000/4/1,-5.98326766
2000/5/1,-3.827968851
2000/6/1,2.195585294
2000/7/1,2.423311588
2000/8/1,16.21920075
2000/9/1,-15.77380384
2000/10/1,-13.40072276
2000/11/1,-5.209549724
2000/12/1,-9.403831998
2001/1/1,27.5847475
2001/2/1,-11.43291353
2001/3/1,-3.680910623
2001/4/1,17.99272835
2001/5/1,-2.943743681
2001/6/1,1.630001135
2001/7/1,-7.584439752
2001/8/1,-5.128814166
2001/9/1,-8.461080598
2001/10/1,16.40379992
2001/11/1,6.727027059
2001/12/1,4.664362712
2002/1/1,-11.43480848
2002/2/1,-9.492017154
2002/3/1,5.951725782
2002/4/1,-21.64354486
2002/5/1,-4.031980632
2002/6/1,-10.90072584
2002/7/1,-2.247244666
2002/8/1,6.834825979
2002/9/1,-25.45562941
2002/10/1,30.29147012
2002/11/1,9.629996645
2002/12/1,-11.28724594
2003/1/1,0.899228666
2003/2/1,-0.320227297
2003/3/1,0.808211591
2003/4/1,7.926764324
2003/5/1,3.631721622
2003/6/1,-6.316295961
2003/7/1,-1.52676792
2003/8/1,0.931067209
2003/9/1,7.624417104
2003/10/1,1.293578689
2003/11/1,1.177640636
2003/12/1,2.517036849
2004/1/1,6.828791518
2004/2/1,-2.789744117
2004/3/1,-4.787572883
2004/4/1,-4.078103232
2004/5/1,0.475262692
2004/6/1,-0.295404969
2004/7/1,-1.232744927
2004/8/1,-2.771463188
2004/9/1,1.443731606
2004/10/1,4.570864585
2004/11/1,4.881649922
2004/12/1,4.695512726
2005/1/1,-5.376250954
2005/2/1,-0.90327684
2005/3/1,-1.11408995
2005/4/1,-17.93053759
2005/5/1,-1.092594522
2005/6/1,-1.537822972
2005/7/1,11.76031056
2005/8/1,-3.462036458
2005/9/1,-0.257200133
2005/10/1,2.048209766
2005/11/1,8.225748457
2005/12/1,-7.596247246
2006/1/1,-1.100932983
2006/2/1,-1.312349927
2006/3/1,2.992008148
2006/4/1,-0.157737125
2006/5/1,-3.008111785
2006/6/1,-3.570226645
2006/7/1,0.765120925
2006/8/1,4.496276234
2006/9/1,1.588899361
2006/10/1,11.93815905
2006/11/1,-0.445038667
2006/12/1,5.85773338
2007/1/1,2.037746852
2007/2/1,-6.467972743
2007/3/1,1.711228386
2007/4/1,8.097239333
2007/5/1,4.205387398
2007/6/1,-0.886007325
2007/7/1,5.003363535
2007/8/1,5.314872187
2007/9/1,1.2997161
2007/10/1,-1.436441856
2007/11/1,-9.895095741
2007/12/1,3.09240492
2008/1/1,-0.919997865
2008/2/1,6.111316163
2008/3/1,1.499521085
2008/4/1,4.715951671
2008/5/1,6.983171537
2008/6/1,-8.389442752
