Date,Open,High,Low,Close,Adj Close,Volume
1966/1/1,8.291667,8.558333,7.866667,8.266666,0.67267,12648000
1966/2/1,8.266666,8.745833,8.133333,8.583333,0.698438,8011200
1966/3/1,8.583333,8.75,8.241667,8.6,0.700003,9123200
1966/4/1,8.6,9.366667,8.566667,9.291667,0.756301,7316800
1966/5/1,9.291667,9.35,8.6,9.06875,0.738157,10494400
1966/6/1,8.9125,9.1625,8.3125,8.7625,0.713442,13753600
1966/7/1,8.80625,9.0375,8.51875,8.51875,0.693597,6025600
1966/8/1,8.51875,8.76875,7.65625,8.0125,0.652378,10428800
1966/9/1,8.0125,8.4625,7.6625,7.9375,0.646478,10038400
1966/10/1,7.9375,8.371875,7.2375,8.3,0.676003,11531200
1966/11/1,8.359375,9.425,8.359375,9.4,0.765593,10068800
1966/12/1,9.4,9.65,9.075,9.2875,0.756673,6968000
1967/1/1,9.2875,10.15,9.0625,9.9875,0.813703,10628800
1967/2/1,9.85,10.88125,9.7625,10.75,0.875826,6753600
1967/3/1,10.8125,11.525,10.8,11.275,0.918851,7043200
1967/4/1,11.1875,12.475,10.925,12.4125,1.011552,8220800
1967/5/1,12.125,12.125,11.45,11.65625,0.949922,8121600
1967/6/1,11.65625,12.775,11.5875,12.4375,1.013814,9611200
1967/7/1,12.4375,12.7375,12.2,12.69375,1.034701,6238400
1967/8/1,12.69375,12.8625,12.13125,12.49375,1.018399,5624000
1967/9/1,12.49375,13.9375,12.4625,13.70625,1.117474,7054400
1967/10/1,13.7,15.0125,13.525,14.8375,1.209706,6659200
1967/11/1,14.725,15.5125,14.1875,15.3,1.247413,9472000
1967/12/1,15.3,16.200001,15.25,15.675,1.280405,6500800
1968/1/1,15.675,15.68125,14.71875,14.8625,1.214037,10377600
1968/2/1,14.8625,15.05,14.2125,14.5,1.184425,10609600
1968/3/1,14.5,15.325,14,15.3125,1.253529,11905600
1968/4/1,15.6375,16.9375,15.625,16.9375,1.386557,11107200
1968/5/1,16.975,17.85,16.125,17.85,1.461257,11739200
1968/6/1,18.450001,18.75,17.25,17.6875,1.450664,10641600
1968/7/1,17.6875,18.25,16.299999,16.9375,1.389151,9384000
1968/8/1,16.9375,17.325001,16.5,16.75,1.373773,7364800
1968/9/1,16.75,17.075001,16.5,16.75,1.376421,6200000
1968/10/1,16.525,16.65,15.225,15.35,1.261377,17635200
1968/11/1,15.4,16.737499,15.375,16.6875,1.371284,10878400
1968/12/1,16.6875,16.737499,15.5,15.75,1.294247,8513600
1969/1/1,15.75,15.7625,14.75,14.8125,1.217209,15188800
1969/2/1,14.8125,15.525,14.6625,14.66875,1.205395,9505600
1969/3/1,14.66875,15.775,14.5875,15.7,1.293626,7593600
1969/4/1,15.7,16.512501,15.2625,16.4,1.351303,7721600
1969/5/1,16.4,16.74375,15.9125,15.95,1.314224,7235200
1969/6/1,15.95,16.975,15.3875,16.887501,1.394899,9937600
1969/7/1,16.887501,18.225,15.5,16.225,1.340178,17296000
1969/8/1,16.299999,17.5375,16.275,17.25,1.424842,11720000
1969/9/1,17.25,18.012501,16.549999,17.262501,1.430281,10350400
1969/10/1,17.262501,18.25,17,18.025,1.493457,12192000
1969/11/1,18,18.4375,17.2125,17.85,1.478958,8328000
1969/12/1,17.924999,18.35,17.512501,18.225,1.514229,11555200
1970/1/1,18.225,19.35,16.7125,16.759375,1.392458,15148800
1970/2/1,16.85,17.75,16.737499,17.012501,1.413489,12294400
1970/3/1,17.012501,17.049999,15.7625,16.924999,1.406218,15971200
1970/4/1,16.924999,17.025,14.3125,14.9,1.237971,18692800
1970/5/1,14.9,14.95,11.85,13.9,1.154885,29678400
1970/6/1,13.9,14.35,12.5,12.5,1.042765,21307200
1970/7/1,12.5,13.125,12.1,12.6125,1.05215,18169600
1970/8/1,12.59375,13.575,10.9375,13.3125,1.115828,22201600
1970/9/1,13.2625,14.775,12.9625,14.5875,1.222695,17121600
1970/10/1,14.5875,15.4875,14.15,14.7,1.232125,13166400
1970/11/1,14.7,15.45,14.425,15.3625,1.292851,13985600
1970/12/1,15.3625,16.0375,15.3125,15.8875,1.337034,15844800
1971/1/1,15.8375,16.387501,15.5,16.275,1.369645,13894400
1971/2/1,16.275,17.174999,16.25,16.825001,1.41593,11152000
1971/3/1,16.825001,18.2875,16.737499,17.875,1.510234,12256000
1971/4/1,17.875,18.200001,17.450001,17.887501,1.51129,16568000
1971/5/1,17.75,17.775,16.25,16.35,1.381389,12846400
1971/6/1,16.375,16.575001,15.4,15.85,1.344113,21155200
1971/7/1,15.85,15.9625,14.5125,14.5625,1.23493,22408000
1971/8/1,14.6375,16,14.1625,15.2,1.288991,17017600
1971/9/1,15.2,15.65,14.95,15.1875,1.293792,12812800
1971/10/1,15.2125,15.7625,14.775,15.025,1.279949,14761600
1971/11/1,15,15.325,14.4125,15.275,1.301246,13342400
1971/12/1,15.325,17.424999,15.325,16.825001,1.43952,17424000
1972/1/1,16.825001,18.6,16.5875,18.4,1.574274,18987200
1972/2/1,18.4,18.75,18.225,18.424999,1.576412,9993600
1972/3/1,18.475,19.299999,18.299999,19.112499,1.641166,13555200
1972/4/1,19.112499,19.987499,18.9625,19.299999,1.657267,11294400
1972/5/1,19.299999,20.299999,18.8375,19.887501,1.707714,13296000
1972/6/1,19.950001,20.049999,19.35,19.6,1.689044,9315200
1972/7/1,19.65,20.275,19.174999,20.0375,1.726746,11385600
1972/8/1,20.1,21.3375,20.1,20.424999,1.760139,14835200
1972/9/1,20.424999,20.487499,19.6625,20.325001,1.757322,9339200
1972/10/1,20.325001,20.393749,18.075001,19.275,1.666538,19964800
1972/11/1,19.299999,19.725,18.549999,19.549999,1.690315,12979200
1972/12/1,19.549999,20.25,19.25,20.1,1.744048,12316800
1973/1/1,20.225,22.424999,20.225,21.775,1.889385,18889600
1973/2/1,21.775,22.825001,20.924999,21.575001,1.872031,14412800
