year mon day rgnp tb3m gs10 m1sk
1959 1 1 2725.1 2.773333 3.99 139.3333
1959 4 1 2793.6 3 4.256667 140.5333
1959 7 1 2791.5 3.54 4.503333 141.5333
1959 10 1 2802.2 4.23 4.583333 140.3
1960 1 1 2864 3.873333 4.486667 139.9
1960 4 1 2851.1 2.993333 4.26 139.6
1960 7 1 2856.5 2.36 3.833333 140.9
1960 10 1 2821.2 2.306667 3.886667 140.8333
1961 1 1 2839 2.35 3.786667 141.5333
1961 4 1 2890.6 2.303333 3.79 142.5667
1961 7 1 2937.5 2.303333 3.98 143.4
1961 10 1 2997.3 2.46 3.973333 144.7
1962 1 1 3050.5 2.723333 4.016667 145.6333
1962 4 1 3086 2.716667 3.873333 146.6
1962 7 1 3114.6 2.84 3.99 146.4667
1962 10 1 3125.4 2.813333 3.903333 147.2667
1963 1 1 3164.7 2.906667 3.893333 148.8
1963 4 1 3203.2 2.94 3.963333 150.1667
1963 7 1 3263.5 3.293333 4.033333 151.7
1963 10 1 3288.9 3.496667 4.12 153.1667
1964 1 1 3364.4 3.53 4.18 154.1667
1964 4 1 3401.6 3.476667 4.2 155.2333
1964 7 1 3448.3 3.496667 4.193333 157.7667
1964 10 1 3455.9 3.683333 4.173333 159.8333
1965 1 1 3543.6 3.89 4.203333 161.0333
1965 4 1 3592.2 3.873333 4.206667 161.9667
1965 7 1 3662.4 3.866667 4.246667 163.8667
1965 10 1 3747.6 4.166667 4.473333 166.8333
1966 1 1 3839.9 4.61 4.77 169.7333
1966 4 1 3852.6 4.586667 4.78 171.5667
1966 7 1 3877.2 5.043333 5.14 171.0333
1966 10 1 3909.5 5.21 5.003333 171.5333
1967 1 1 3943.4 4.513333 4.583333 173.2333
1967 4 1 3943.5 3.66 4.82 175.6333
1967 7 1 3977.4 4.3 5.246667 179.5
1967 10 1 4006.7 4.753333 5.643333 182.4333
1968 1 1 4089.4 5.05 5.61 184.8333
1968 4 1 4158.9 5.52 5.743333 188
1968 7 1 4188.1 5.196667 5.46 191.6667
1968 10 1 4205.9 5.586667 5.77 195.8
1969 1 1 4271.7 6.093333 6.176667 199.3333
1969 4 1 4283 6.196667 6.353333 200.9333
1969 7 1 4308.6 7.023333 6.856667 201.8333
1969 10 1 4288.5 7.353333 7.296667 203.4667
1970 1 1 4282.5 7.21 7.366667 205.6333
1970 4 1 4291.2 6.676667 7.713333 207.1667
1970 7 1 4328.7 6.326667 7.46 209.9
