year mon day rgnp tb3m gs10 m1sk
1970 10 1 4280.7 5.353333 6.853333 213.6667
1971 1 1 4402.9 3.84 6.016667 217.2333
1971 4 1 4429.4 4.25 6.246667 221.8333
1971 7 1 4461.4 5.01 6.483333 225.6667
1971 10 1 4475.3 4.23 5.89 227.7667
1972 1 1 4556.1 3.436667 6.033333 232.2333
1972 4 1 4662.9 3.77 6.143333 236.0333
1972 7 1 4710 4.22 6.29 240.9667
1972 10 1 4786.8 4.863333 6.373333 246.8667
1973 1 1 4913.7 5.7 6.603333 251.8
1973 4 1 4972.8 6.603333 6.806667 254.7667
1973 7 1 4953.7 8.323333 7.206667 257.7
1973 10 1 5000.8 7.5 6.753333 260.9667
1974 1 1 4966.3 7.616667 7.053333 265.2667
1974 4 1 4975.6 8.153333 7.543333 267.7667
1974 7 1 4921.9 8.19 7.963333 270.1333
1974 10 1 4895.5 7.36 7.67 273.4
1975 1 1 4829.3 5.75 7.54 275.1
1975 4 1 4866.2 5.393333 8.05 279.2667
1975 7 1 4950.6 6.33 8.296667 284.5
1975 10 1 5022.6 5.626667 8.063333 286.4333
1976 1 1 5134.3 4.916667 7.753333 290.6333
1976 4 1 5174.4 5.156667 7.773333 295.6
1976 7 1 5200 5.15 7.73 298.6
1976 10 1 5238.6 4.673333 7.19 303.9333
1977 1 1 5306.1 4.63 7.353333 311.2333
1977 4 1 5409.2 4.84 7.37 317.3333
1977 7 1 5504.3 5.496667 7.356667 322.3333
1977 10 1 5496.9 6.11 7.596667 328.6333
1978 1 1 5523.4 6.393333 8.01 335.5667
1978 4 1 5728.7 6.476667 8.32 343.9
1978 7 1 5788.8 7.313333 8.49 349.8
1978 10 1 5872.6 8.57 8.82 355.3333
1979 1 1 5883.8 9.383333 9.106667 360.3333
1979 4 1 5896.8 9.376667 9.113333 370.3333
1979 7 1 5952.3 9.673333 9.103333 378.4333
1979 10 1 5967.8 11.84333 10.44667 381.1333
1980 1 1 5988.3 13.35333 11.98667 388.1
1980 4 1 5860.9 9.616667 10.47667 385.9
1980 7 1 5845.6 9.153333 10.95333 399.3333
1980 10 1 5938.6 13.61333 12.42333 409.4
1981 1 1 6064.8 14.39 12.96 415.0333
1981 4 1 6013.2 14.90667 13.75 425.7667
1981 7 1 6089.3 15.05333 14.84667 426.9333
1981 10 1 6022.1 11.75 14.08667 432.1333
1982 1 1 5920.6 12.81333 14.29333 442.4333
1982 4 1 5960.6 12.42 13.93 447.1
1982 7 1 5926.3 9.316667 13.11667 452.1
1982 10 1 5928.6 7.906667 10.66667 470.2667
1983 1 1 6000.8 8.106667 10.56333 484.0333
1983 4 1 6138.3 8.396667 10.54333 499.0667
1983 7 1 6259.3 9.14 11.62667 510.3667
1983 10 1 6389.9 8.8 11.68667 519.2
1984 1 1 6507.2 9.17 11.94333 528
1984 4 1 6618.8 9.796667 13.2 537.3
1984 7 1 6681.9 10.32 12.86667 541.6667
1984 10 1 6728.7 8.803333 11.74333 547.6
1985 1 1 6780 8.183333 11.58333 562.4
1985 4 1 6840 7.46 10.81333 575.9333
1985 7 1 6937.6 7.106667 10.33667 596.2
1985 10 1 6994.5 7.166667 9.76 613.2667
1986 1 1 7055.9 6.896667 8.556667 626.7
1986 4 1 7073 6.14 7.603333 651.2
1986 7 1 7144.3 5.523333 7.306667 678.8
1986 10 1 7168.5 5.353333 7.263333 708.3333
1987 1 1 7210.9 5.536667 7.193333 731.5667
1987 4 1 7293.5 5.656667 8.343333 744.3
1987 7 1 7355.6 6.043333 8.876667 745.1667
1987 10 1 7483.8 5.863333 9.123333 753.2
1988 1 1 7530.3 5.723333 8.416667 758.5667
1988 4 1 7623.1 6.21 8.91 772.7
1988 7 1 7658.6 7.01 9.1 782.8
1988 10 1 7763.7 7.726667 8.956667 784.9667
1989 1 1 7835.6 8.54 9.206667 784.1667
1989 4 1 7892.6 8.41 8.773333 775.9
1989 7 1 7957.7 7.843333 8.106667 779.4
1989 10 1 7983.3 7.653333 7.906667 789.1333
1990 1 1 8063.5 7.76 8.423333 798.3333
1990 4 1 8096.6 7.746667 8.676667 806.3667
1990 7 1 8089.6 7.476667 8.703333 815.3333
1990 10 1 8050.1 6.99 8.396667 822.2333
1991 1 1 7994.7 6.023333 8.016667 832.8333
1991 4 1 8033.4 5.56 8.13 849.5333
1991 7 1 8062.6 5.376667 7.94 866
1991 10 1 8104.4 4.54 7.346667 887.5333
1992 1 1 8192.3 3.893333 7.303333 924.1
1992 4 1 8278.3 3.68 7.376667 949.5667
1992 7 1 8359.1 3.083333 6.616667 975
1992 10 1 8447.8 3.07 6.743333 1014.767
1993 1 1 8472.8 2.96 6.28 1034.167
1993 4 1 8518 2.966667 5.99 1062.9
1993 7 1 8570.1 3.003333 5.616667 1094.267
1993 10 1 8663 3.06 5.606667 1122.3
1994 1 1 8755.9 3.243333 6.066667 1136.067
1994 4 1 8870 3.986667 7.083333 1143.167
1994 7 1 8924 4.476667 7.333333 1151
1994 10 1 9022.1 5.28 7.836667 1150.633
1995 1 1 9056.1 5.736667 7.483333 1148.6
1995 4 1 9078.7 5.596667 6.62 1146.167
1995 7 1 9137.3 5.366667 6.323333 1144.3
1995 10 1 9214.6 5.26 5.893333 1132.967
1996 1 1 9285 4.93 5.91 1121.533
1996 4 1 9434.1 5.02 6.72 1118.867
1996 7 1 9511.9 5.096667 6.78 1103.333
1996 10 1 9621.4 4.976667 6.343333 1083.567
1997 1 1 9685 5.06 6.563333 1077.467
1997 4 1 9837.4 5.046667 6.696667 1064.667
1997 7 1 9951.3 5.046667 6.243333 1069.267
1997 10 1 10019.8 5.09 5.906667 1069.467
1998 1 1 10124.7 5.053333 5.586667 1076.333
1998 4 1 10212.5 4.976667 5.596667 1077.4
1998 7 1 10331.5 4.823333 5.203333 1076.867
1998 10 1 10512.2 4.253333 4.67 1092
1999 1 1 10619 4.406667 4.983333 1097.467
1999 4 1 10707.5 4.453333 5.54 1101.5
1999 7 1 10839.7 4.65 5.883333 1098.033
1999 10 1 11045.6 5.043333 6.14 1111.967
2000 1 1 11069.2 5.52 6.48 1113.1
2000 4 1 11288.1 5.713333 6.176667 1107.6
2000 7 1 11292.8 6.016667 5.893333 1100.9
2000 10 1 11386.8 6.016667 5.566667 1093.133
2001 1 1 11333.9 4.816667 5.05 1102.733
2001 4 1 11416.9 3.66 5.27 1120.3
2001 7 1 11360.3 3.17 4.98 1164.467
2001 10 1 11468.8 1.906667 4.77 1173.367
2002 1 1 11523.3 1.723333 5.076667 1191.967
2002 4 1 11564.5 1.716667 5.1 1189.6
2002 7 1 11638.7 1.643333 4.26 1193.833
2002 10 1 11661.7 1.333333 4.006667 1211.5
2003 1 1 11694.9 1.156667 3.92 1235.1
2003 4 1 11808.1 1.04 3.62 1265.967
2003 7 1 12000.8 0.93 4.233333 1293.233
2003 10 1 12136 0.9166667 4.286667 1300.9
2004 1 1 12234 0.9166667 4.02 1319.033
2004 4 1 12285.1 1.076667 4.6 1335.433
2004 7 1 12386.7 1.486667 4.303333 1351.833
2004 10 1 12460.7 2.006667 4.173333 1370.8
2005 1 1 12623.4 2.536667 4.296667 1370.333
2005 4 1 12667.7 2.863333 4.16 1367.033
2005 7 1 12776.9 3.36 4.213333 1373.9
2005 10 1 12812.4 3.826667 4.49 1375.567
2006 1 1 12974.7 4.393333 4.57 1381.1
2006 4 1 13021.6 4.703333 5.07 1379.833
2006 7 1 13009.6 4.906667 4.896667 1368.2
2006 10 1 13107.3 4.903333 4.63 1369.167
2007 1 1 13122.6 4.983333 4.68 1368.233
2007 4 1 13248.4 4.736667 4.846667 1374.067
2007 7 1 13405.8 4.303333 4.73 1372.467
2007 10 1 13511 3.39 4.26 1374.867
2008 1 1 13431.7 2.043333 3.663333 1383.933
2008 4 1 13476.6 1.626667 3.886667 1394.6
2008 7 1 13367.4 1.493333 3.863333 1427.967
2008 10 1 12991.9 0.2966667 3.253333 1530.633
2009 1 1 12819.5 0.2133333 2.736667 1579.367
2009 4 1 12806.8 0.1733333 3.313333 1626.033
2009 7 1 12895.3 0.1566667 3.516667 1659.233
2009 10 1 13034.5 0.05666667 3.46 1683.967
2010 1 1 13121.9 0.1066667 3.716667 1700.4
2010 4 1 13216.5 0.1466667 3.49 1709.9
2010 7 1 13301.1 0.1566667 2.786667 1743.333
2010 10 1 13374.2 0.1366667 2.863333 1813.133
2011 1 1 13394.3 0.1266667 3.46 1879.367
2011 4 1 13486.1 0.04666667 3.21 1926.767
2011 7 1 13534.7 0.02333333 2.426667 2077.8
2011 10 1 13672.9 0.01333333 2.046667 2153.8
2012 1 1 13693.8 0.06666667 2.036667 2223
2012 4 1 13768.7 0.08666667 1.823333 2252.5
